Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
      46.000                  142.000                              279.000
      47.000                  107.000                              143.000
      47.000                  109.000                              145.000
      47.000                  143.000                              280.000
      47.000                  145.000                              280.000
      48.000                  144.000                              281.000
      48.000                  146.000                              285.000
      48.000                  281.000                              285.000
      49.000                  109.000                              145.000
      49.000                  113.000                              149.000
      49.000                  145.000                              282.000
      49.000                  149.000                              282.000
      50.000                  148.000                              287.000
      50.000                  150.000                              295.000
      50.000                  287.000                              295.000
      51.000                  113.000                              149.000
      51.000                  115.000                              151.000
      51.000                  149.000                              288.000
      51.000                  151.000                              288.000
      52.000                  150.000                              295.000
      52.000                  154.000                              303.000
      52.000                  295.000                              303.000
      53.000                   57.000                              296.000
      53.000                  115.000                              151.000
      53.000                  151.000                              296.000
      54.000                  116.000                              152.000
      54.000                  121.000                              157.000
      54.000                  152.000                              300.000
      54.000                  157.000                              300.000
      55.000                   59.000                              301.000
      55.000                  153.000                              293.000
      55.000                  293.000                              301.000
      56.000                  154.000                              303.000
      56.000                  158.000                              309.000
      56.000                  303.000                              309.000
      57.000                   61.000                              304.000
      57.000                  296.000                              304.000
      58.000                   62.000                              311.000
      58.000                  119.000                              155.000
      58.000                  155.000                              305.000
      58.000                  305.000                              311.000
      59.000                   63.000                              306.000
      59.000                  301.000                              306.000
      60.000                   64.000                              314.000
      60.000                  158.000                              309.000
      60.000                  309.000                              314.000
      61.000                  123.000                              159.000
      61.000                  159.000                              310.000
      61.000                  304.000                              310.000
      62.000                  160.000                              318.000
      62.000                  311.000                              318.000
      63.000                   67.000                              312.000
      63.000                  306.000                              312.000
      64.000                   68.000                              321.000
      64.000                  314.000                              321.000
      65.000                   69.000                              315.000
      65.000                  123.000                              159.000
      65.000                  159.000                              315.000
      66.000                  125.000                              161.000
      66.000                  160.000                              318.000
      66.000                  161.000                              318.000
      67.000                  126.000                              162.000
      67.000                  162.000                              319.000
      67.000                  312.000                              319.000
      68.000                   72.000                              328.000
      68.000                  321.000                              328.000
      69.000                  163.000                              322.000
      69.000                  315.000                              322.000
      70.000                  125.000                              161.000
      70.000                  161.000                              324.000
      70.000                  164.000                              331.000
      70.000                  324.000                              331.000
      71.000                  126.000                              162.000
      71.000                  131.000                              167.000
      71.000                  162.000                              325.000
      71.000                  167.000                              325.000
      72.000                   74.000                              337.000
      72.000                  328.000                              337.000
      73.000                   75.000                              329.000
      73.000                  163.000                              322.000
      73.000                  322.000                              329.000
      74.000                  132.000                              168.000
      74.000                  168.000                              337.000
      75.000                  169.000                              338.000
      75.000                  329.000                              338.000
      76.000                   78.000                              349.000
      76.000                  132.000                              168.000
      76.000                  168.000                              337.000
      76.000                  337.000                              345.000
      76.000                  345.000                              349.000
      77.000                  169.000                              338.000
      77.000                  170.000                              346.000
      77.000                  338.000                              346.000
      78.000                  137.000                              173.000
      78.000                  173.000                              349.000
      79.000                  171.000                              188.000
      79.000                  174.000                              350.000
      79.000                  188.000                              350.000
      80.000                  136.000                              172.000
      80.000                  142.000                              178.000
      80.000                  172.000                              348.000
      80.000                  178.000                              354.000
      80.000                  348.000                              354.000
      81.000                   83.000                              313.000
      81.000                   83.000                              355.000
      81.000                  179.000                              308.000
      81.000                  179.000                              355.000
      81.000                  308.000                              313.000
      82.000                   84.000                              321.000
      82.000                   84.000                              356.000
      82.000                  179.000                              314.000
      82.000                  179.000                              355.000
      82.000                  314.000                              321.000
      82.000                  355.000                              356.000
      83.000                   85.000                              320.000
      83.000                   85.000                              356.000
      83.000                  313.000                              320.000
      83.000                  355.000                              356.000
      84.000                   86.000                              328.000
      84.000                   86.000                              357.000
      84.000                  321.000                              328.000
      84.000                  356.000                              357.000
      85.000                  180.000                              327.000
      85.000                  180.000                              357.000
      85.000                  320.000                              327.000
      85.000                  356.000                              357.000
      86.000                   88.000                              337.000
      86.000                   88.000                              359.000
      86.000                  328.000                              337.000
      86.000                  357.000                              359.000
      87.000                  180.000                              327.000
      87.000                  180.000                              358.000
      87.000                  181.000                              336.000
      87.000                  181.000                              358.000
      87.000                  327.000                              336.000
      88.000                  182.000                              345.000
      88.000                  182.000                              359.000
      88.000                  337.000                              345.000
      89.000                  181.000                              336.000
      89.000                  181.000                              360.000
      89.000                  186.000                              344.000
      89.000                  186.000                              360.000
      89.000                  336.000                              344.000
      90.000                  182.000                              345.000
      90.000                  182.000                              361.000
      90.000                  187.000                              348.000
      90.000                  187.000                              361.000
      90.000                  345.000                              348.000
      91.000                  171.000                              188.000
      91.000                  171.000                              347.000
      91.000                  183.000                              341.000
      91.000                  183.000                              362.000
      91.000                  188.000                              362.000
      91.000                  341.000                              347.000
      92.000                  187.000                              348.000
      92.000                  187.000                              366.000
      92.000                  192.000                              354.000
      92.000                  192.000                              366.000
      92.000                  348.000                              354.000
      93.000                  233.000                              238.000
      94.000                  252.000                              261.000
      95.000                  261.000                              269.000
      97.000                   98.000                              200.000
